t,price_usd_close,volume_sum,active_count,transfers_volume_entity_adjusted_sum,fee_ema_percentile,fee_upper,fee_lower,volume_sma_zscore,volume_upper,volume_lower,address_sma_meandev,address_upper,address_lower
2020-01-01,7199.66110087,71992.30414403426,522161,733046532.6005212,71992.30414403426,,,,,,,,
2020-01-02,6985.65902257,98045.38482377196,678389,1283129447.1677675,86879.77881817009,,,,,,,,
2020-01-03,7347.59737791,119077.71719126224,712208,1461464038.639609,100803.21162815588,,,,,,,,
2020-01-04,7415.20244546,90639.35010044316,615785,1054610216.857028,97086.14226944951,,,,,,,,
2020-01-05,7410.81254092,89034.4817454114,596336,908334480.3374577,94446.92960087876,,,,,,,,
2020-01-06,7770.52843473,155470.06356118116,724303,1734506172.3766344,113005.79184481986,,,,,,,,
2020-01-07,8166.96310003,202947.9041293526,771654,1808363685.799961,138955.13972940436,,,1283350653.396997,,,660119.4285714285,,
2020-01-08,8082.95054727,254070.158269232,745781,1888635579.6197176,170935.54606694632,,,1448434802.971168,,,692065.1428571428,,
2020-01-09,7880.28824913,235954.48804323975,780267,1623357742.4636698,188509.84206241925,,,1497038845.156297,,,706619.1428571428,,
2020-01-10,8164.65571526,257272.2359802584,784612,1798432820.5474536,206726.27172143618,,,1545177242.5717032,,,716962.5714285715,,
2020-01-11,8029.64210795,149189.15061363424,655704,1056778132.0661198,191707.67914396548,,,1545486944.7444305,,,722665.2857142857,,
2020-01-12,8185.64036985,118235.85945309771,590366,972765877.3907248,172738.86126875266,,,1554691430.0377545,,,721812.4285714285,,
2020-01-13,8148.31886082,143442.91263792056,682403,1463467894.324839,165236.6419048961,,,1515971676.0303552,,,715826.7142857143,,
2020-01-14,8827.76442606,225472.6793826325,852442,2398906356.27608,180568.8395753558,,,1600334914.669801,,,727367.8571428572,,
2020-01-15,8807.01027532,275189.1452647124,769961,2142189214.1355443,204544.31127900686,,,1636556862.4577758,,,730822.1428571428,,
2020-01-16,8723.78576573,207098.2430075811,741776,2092048984.651144,205189.25825396553,,,1703512754.1988437,,,725323.4285714285,,
2020-01-17,8929.0376776,215320.49095777803,757448,1917599624.1632853,207741.24961324694,,,1720536583.2868195,,,721442.8571428572,,
2020-01-18,8942.80890321,158178.37526388888,634559,1167225680.696586,195280.27968974368,,,1736314804.5197434,,,718422.1428571428,,
2020-01-19,8706.24512993,146047.1327325704,636694,1262796204.8566368,182919.7290494339,,,1777747708.443445,,,725040.4285714285,,
2020-01-20,8657.64293942,153614.4013992117,736438,1556220276.7851882,175570.0898733764,,,1790998048.7949235,,,732759.7142857143,,
2020-01-21,8745.89478833,177905.61734927166,757020,1541407493.4034986,176155.36376300998,,,1668498211.2416975,,,719128.0,,
2020-01-22,8680.87604222,188373.3437984862,783825,1822485186.8913608,179215.31713725757,,,1622826207.3496711,,,721108.5714285715,,
2020-01-23,8406.5160678,177802.0120696319,768892,1679485002.933546,178861.51753777498,,,1563888495.6757286,,,724982.2857142857,,
2020-01-24,8445.43428152,135505.91677170442,733013,1641583778.7617998,168011.73076484608,,,1524457660.6183739,,,721491.5714285715,,
2020-01-25,8367.84777344,95103.16632248412,650857,1007690106.49968,149770.86260825308,,,1501666864.30453,,,723819.8571428572,,
2020-01-26,8596.82983316,89583.41674267493,573738,835353163.8074901,134715.50378301283,,,1440603572.7260804,,,714826.1428571428,,
2020-01-27,8909.81917753,173540.86073692745,702915,1639447688.0186834,144425.9535101641,,,1452493202.9022942,,,710037.1428571428,,
2020-01-28,9358.59031703,207797.500095714,823221,1824089619.3661528,160273.87154202175,,,1492876363.7541015,,,719494.4285714285,,
2020-01-29,9316.62950445,190675.26202699493,776159,2122025313.6425867,167876.0293088968,,,1535667810.4328485,,,718399.2857142857,,
2020-01-30,9508.9935947,184510.338786427,763783,1941679813.6180365,172035.34945836532,,,1573124211.9592042,,,717669.4285714285,,
2020-01-31,9350.52936518,210447.18860982652,772889,2088866825.1581495,181639.59560599428,,,1637021790.0158255,,,723366.0,,
2020-02-01,9392.87536841,163901.76024232956,720033,1193821077.5811317,177204.69126817954,,,1663611928.7417471,,,733248.2857142857,,
2020-02-02,9344.36529292,159177.85757886295,727237,1185887550.987269,172697.64328792354,,,1713688269.7674298,,,755176.7142857143,,
2020-02-03,9293.52108908,201039.85651468183,864995,1834716162.469928,179783.59698280905,,,1741583766.1176076,,,778331.0,,
2020-02-04,9180.9629665,218585.72012921263,768226,1645460851.4289424,189484.53887948685,,,1716065370.6980062,,,770474.5714285715,,
2020-02-05,9613.42428895,239663.2606115113,837536,1997401837.078812,202029.6180424705,,,1698262016.9031813,,,779242.7142857143,,
2020-02-06,9729.80223149,263034.14669472683,749129,3089647239.217195,217281.1137681197,,,1862257363.417347,,,777149.2857142857,,
2020-02-07,9790.33384641,308022.63983389834,868589,2863158776.355444,239966.90086954206,,,1972870499.3026745,,,790820.7142857143,,
2020-02-08,9866.50724373,208935.33891730692,723079,2316154497.2496047,232208.90635623995,,,2133203844.9695992,,,791255.8571428572,,
2020-02-09,10119.1248203,199396.17601100408,686022,1543537363.092121,224005.64127309705,,,2184296675.2702928,,,785368.0,,
2020-02-10,9865.59260896,272580.52816798893,708218,2207144488.7971826,236149.45459078962,,,2237500721.888472,,,762971.2857142857,,
2020-02-11,10205.1323621,345566.63179513835,892362,3164265201.618524,263503.90363132156,,,2454472771.9155545,,,780705.0,,
2020-02-12,10322.7164894,385786.013950173,813659,2621478943.682004,294074.5609107734,,,2543626644.287439,,,777294.0,,
2020-02-13,10205.6192109,363592.2225046577,829739,2538977673.6913667,311454.03161013627,,,2464959563.4980354,,,788809.7142857143,,
2020-02-14,10300.0506266,329540.9568413492,729015,2369641544.5903616,315975.77370896307,,,2394457101.8173094,,,768870.5714285715,,
2020-02-15,9891.83650918,289580.7053145789,755095,1610706750.607628,309376.9947995023,,,2293678852.297027,,,773444.2857142857,,
2020-02-16,9943.25998095,213706.6228385209,639998,1254288401.852017,285459.3697024266,,,2252357572.119869,,,766869.4285714285,,
2020-02-17,9686.04920977,245565.87514947756,776163,2090824787.931236,275485.9860230459,,,2235740471.9961624,,,776575.8571428572,,
2020-02-18,10147.0726363,297733.3948723966,784418,2140666267.2596369,281047.84243511653,,,2089512052.8020358,,,761155.2857142857,,
2020-02-19,9635.05008713,317247.926879146,791501,2091535318.7700417,290097.8686713498,,,2013805820.6717553,,,757989.8571428572,,
2020-02-20,9618.25906453,266641.3274085801,766663,2235325939.177912,284233.7308649162,,,1970427001.4555476,,,748979.0,,
2020-02-21,9690.95528682,227782.8119123986,770775,1745243423.060568,270120.9966310916,,,1881227269.8084342,,,754944.7142857143,,
2020-02-22,9660.91488832,176818.576565361,677136,1134481124.3737905,246795.38604177523,,,1813195037.4893146,,,743807.7142857143,,
2020-02-23,9920.86796684,163572.09367698274,608575,1169453489.416773,225989.55922242862,,,1801075764.2842796,,,739318.7142857143,,
2020-02-24,9645.39833042,222812.46152771596,759274,2004233025.636114,225195.28469200726,,,1788705512.5278337,,,736906.0,,
2020-02-25,9346.53346695,232774.996652529,736782,1725051686.091669,227090.21287313337,,,1729332000.9324098,,,730100.8571428572,,
2020-02-26,8824.33122732,264659.06002517993,773379,1943412519.7990155,236482.4253711476,,,1708171601.079406,,,727512.0,,
2020-02-27,8786.87893969,237480.189257276,779052,1840851057.37165,236731.86635682202,,,1651818046.5356543,,,729281.8571428572,,
2020-02-28,8689.11524591,228463.68002031365,797710,2105864974.4825196,234664.81968479976,,,1703335411.0245044,,,733129.7142857143,,
2020-02-29,8615.22772355,160752.01817580315,673533,1172748322.037402,216186.61871825188,,,1708802153.5478778,,,732615.0,,
2020-03-01,8563.41168611,124000.41900176588,671761,1042409080.9359756,193140.0682378875,,,1690652952.336335,,,741641.5714285715,,
2020-03-02,8865.83955705,201446.14705956096,822598,1974701541.6683743,195216.58798055656,,,1686434168.9123724,,,750687.8571428572,,
2020-03-03,8792.35171065,217465.0120465084,838607,1925754629.959738,200778.6940718785,,,1715106018.0363822,,,765234.2857142857,,
2020-03-04,8742.61166128,212750.66469948023,875551,1872685901.175723,203771.6867589803,,,1705002215.3759117,,,779830.2857142857,,
2020-03-05,9077.87946386,220336.25758320684,790406,2231637421.6456795,207912.82949637718,,,1760828838.84363,,,781452.2857142857,,
2020-03-06,9120.74845437,242415.67683169385,806400,2075967288.4437969,216538.54137916598,,,1756557740.8380985,,,782693.7142857143,,
2020-03-07,8909.75828069,168222.05004091148,680471,1321711700.4266624,204459.4184931814,,,1777838223.4651358,,,783684.8571428572,,
2020-03-08,8110.25607808,138888.6733400383,643994,1125835429.9403462,188066.73215255776,,,1789756273.322903,,,779718.1428571428,,
2020-03-09,7916.62214092,201732.71340848552,812717,2224619251.9020896,191483.22747472074,,,1825458803.3562908,,,778306.5714285715,,
2020-03-10,7915.61754792,222350.9607608324,815210,2159158950.417385,199200.16081010769,,,1858802277.7073834,,,774964.1428571428,,
