t,price_usd_close,investor_capitalization,current,liveliness,realized_profit_lth_account_based,realized_loss_lth_account_based,profit_relative,supplyinprofit_percentile_maxmin,aviv_percentile_maxmin,aviv,lthrealized_plratio_logpercentile_maxmin,lth_realized_pl_ema7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2014-01-01,753.405480556,2906005298.0945024,9195325042.328838,0.4920888090010135,774789.8271726783,12.106857861591584,0.8766882457781875,,,1.557091637590553,,63995.94643220032,,0.04379978535843776
2014-01-02,784.280603894,2916228018.0256324,9574783719.715376,0.4920338401804508,3304832.67639508,12.25218441449239,0.8815783843440925,,,1.6154832795613752,,115430.49992998612,,0.04379978535843776
2014-01-03,807.915916232,2932460360.389285,9866584096.517096,0.4919086408895172,5383707.730845465,1.8811639460217968,0.8851251204109667,,,1.655080504650215,,802048.490753158,,0.04379978535843776
2014-01-04,828.7459845879999,2984553422.713361,10123890340.48504,0.4925946463302481,5292025.857510592,2.3013225345090955,0.9157676724052768,,,1.6709281006012662,,1176425.9998043256,,0.04379978535843776
2014-01-05,904.760075074,3012058539.05741,11056837460.99947,0.4926847512770967,3884093.08662742,1.4684946415786038,0.9421237036307286,,,1.8085754787782296,,1543556.690758499,,0.04379978535843776
2014-01-06,917.382725522,3035824821.8303714,11118928975.566544,0.4924376963744934,5174812.664032285,2.865220866961516,0.9344886908893508,,,1.803588840669126,,1609187.0434658835,,0.04379978535843776
2014-01-07,789.593524042,3049605733.900524,9904144254.627794,0.4922801790996223,4611792.239033266,2.006610354702735,0.8613653203167361,,,1.5987686058225732,,1781465.2403415786,,0.04379978535843776
2014-01-08,822.864923038,3076145364.592016,10047570420.744972,0.4924001732105306,1638336.0871754074,2.376641327000948,0.8744529293726109,,,1.608319773332947,,1508436.2607320033,,0.04379978535843776
2014-01-09,825.8665006040001,3082866927.69914,10108453018.826311,0.4919942567413898,3368369.756138012,2.0742033991431774,0.8866738646327198,,,1.6132064556917058,,1537310.7357275398,,0.04379978535843776
2014-01-10,854.445450584,3086216882.0040026,10407851863.1725,0.4916007245759405,1638011.7478298044,6.459256685760551,0.9153718988701722,,,1.6578574069273784,,1216380.8941294642,,0.04379978535843776
2014-01-11,893.6831232820001,3111428830.4156103,10852292255.10977,0.4921846141934854,11706064.61908582,1.3504051514161504,0.9292112610904872,,,1.7166811673409486,,3079425.0299978377,,0.04379978535843776
2014-01-12,843.286613774,3125611432.163542,10334405605.730412,0.4920467812012997,6726721.134948735,4.007036804787361,0.8996564429399727,,,1.6268852108748793,,2729250.5387671622,,0.04379978535843776
2014-01-13,822.530427934,3129190847.29714,10125584748.558474,0.4917979059946126,2582317.733464065,9.187673396943206,0.8791166345055395,,,1.5913830825030468,,2117203.7271487955,,0.04379978535843776
2014-01-14,815.996819406,3143314112.5527925,10006723874.458548,0.492026528057426,18346298.8456694,8.294947764394884,0.8539875569297799,,,1.5663638532073372,,2140838.7319933735,,0.04379978535843776
2014-01-15,840.1151583520001,3163297975.7242217,10306356172.398254,0.4919003807486974,3445424.6214329298,5.553157270200574,0.9044095580207242,,,1.6026629689141776,,1760740.117068044,,0.04379978535843776
2014-01-16,814.4962523859999,3175804483.957579,10004821312.845512,0.49178184261765,5632448.877149745,3.9897591142741446,0.8439165438547757,,,1.5492734156480974,,1673486.7257662523,,0.04379978535843776
2014-01-17,794.5266687980001,3179275328.4288816,9753780052.329515,0.4915520707658478,1456312.9485867568,7.96512982884758,0.8232742372902044,,,1.5080451635141994,,1300824.0591141398,,0.04379978535843776
2014-01-18,811.37762176,3181371637.263998,9962040459.862968,0.4911862966536885,2597155.227125292,2.1556579434358816,0.8387372995197047,,,1.5380842977535631,,1276820.1941286412,,0.04379978535843776
2014-01-19,841.4564324119999,3187725903.778845,10337115399.98463,0.491132176311693,4029481.5505398978,2.385008214579602,0.9080181706429228,,,1.592636925640702,,1379991.211840991,,0.04379978535843776
2014-01-20,826.696425026,3195091397.9709845,10193486938.740309,0.490824469909888,2781160.887601774,3.543174658628694,0.8879526854806581,,,1.5659060102061013,,1231227.0944562491,,0.04379978535843776
2014-01-21,824.875769878,3199350687.5931945,10131924777.352757,0.4906141835777475,2093008.7942657203,24.35945229848666,0.8739541908742595,,,1.5537108895216338,,944900.7791117243,,0.04379978535843776
2014-01-22,818.534270204,3209071930.570424,10073253318.7725,0.4905102897295872,6144264.243341531,7.824575914808999,0.8518628053459718,,,1.5397082118481333,,904988.5957429078,,0.04379978535843776
2014-01-23,810.869203164,3211995358.925493,9976156080.995571,0.4901630422007864,1711574.8819475716,6.932806278156057,0.8288317154087733,,,1.5224003984135561,,740461.5790767214,,0.04379978535843776
2014-01-24,779.3849452420001,3217534626.5196986,9636856762.56214,0.4900555472548831,6512765.697779065,23.83282478491368,0.8086672320416798,,,1.4677682333764301,,623663.3661413714,,0.04379978535843776
2014-01-25,805.652675222,3224018057.284605,9868392544.819872,0.4898660205271388,3798895.928754941,4.098441402320511,0.8233711713929429,,,1.4994302448175927,,699475.6107148131,,0.04379978535843776
2014-01-26,814.847146534,3227713593.078735,10019771590.012062,0.4895471571471151,1316048.3388203308,10.208428309772604,0.8402417044744512,,,1.5196982494580897,,556836.163415653,,0.04379978535843776
2014-01-27,746.678657078,3232390217.824304,9254678432.995958,0.4894748386720485,2457436.93052974,14.174548881259955,0.7920283357242381,,,1.4014187420729929,,460969.5412714226,,0.04379978535843776
2014-01-28,785.9504199859999,3235458348.514911,9685966365.988165,0.4892502896973903,2103519.8036879497,27.84097415152165,0.8109614030464745,,,1.464664767739645,,364615.86107070616,,0.04379978535843776
2014-01-29,794.098192396,3241572794.1563635,9776912694.853338,0.4891660258891358,3311113.665666667,20.88772205239364,0.8156673488901591,,,1.4753744037548686,,313091.7996451198,,0.04379978535843776
2014-01-30,799.5229998400001,3246293534.361874,9853320424.135454,0.4889687076199903,2748425.984611006,12.775598607217214,0.8258637120775583,,,1.484143470871385,,288601.57391590596,,0.04379978535843776
2014-01-31,802.998525562,3248588084.999135,9906343721.57216,0.4885741956786009,1835065.9172388325,20.67339114927744,0.8301149929613222,,,1.4898730738539185,,238642.33794936023,,0.04379978535843776
2014-02-01,813.159890274,3262328461.3927894,10035262234.128263,0.4884033377884567,2709541.336205219,12.457175225905576,0.8490342891795953,,,1.5023795515176883,,233358.8752225485,,0.04379978535843776
2014-02-02,814.932732602,3265183177.826888,10061212326.229353,0.4880551609810742,2250487.7373462566,31.504243586053285,0.8505428156208041,,,1.503874770300245,,192877.76434697554,,0.04379978535843776
2014-02-03,808.5,3268392525.0563235,9965413328.101522,0.4876508652340362,1337215.5870230028,28.00548138313708,0.8317410028697412,,,1.4868600985372031,,156595.41129604183,,0.04379978535843776
2014-02-04,801.39173376,3269189771.814693,9901106559.08842,0.4875158822642523,2242606.0195567254,9.340766635717833,0.8171586335269877,,,1.4764963298129306,,177468.55952977386,,0.04379978535843776
2014-02-05,780.917515036,3392145907.8983383,9651429696.528124,0.4989872785247137,52232462.25534218,72.55156578070202,0.7803691627869772,,,1.419732749976834,,313085.3445057636,,0.04379978535843776
2014-02-06,762.981093598,3397851180.9176583,9436606713.47845,0.4991479395485372,51179767.053416654,53.13146811385484,0.7666973760332816,,,1.3862475272064623,,475630.6508996465,,0.04379978535843776
2014-02-07,708.3660443880001,3389683830.781912,8781408592.287584,0.4991461323235487,1634350.4711492716,195.70531222618732,0.7424625801405658,,,1.2931017622909198,,358810.75785834517,,0.04379978535843776
2014-02-08,679.578138862,3386411350.604524,8407784772.235131,0.4988382472018589,4491638.717039465,215.9533134210197,0.7306155171909341,,,1.238515993599992,,274307.8482048269,,0.04379978535843776
2014-02-09,687.314088924,3387203794.6435595,8487898910.114485,0.4986977895688656,1993115.5754946936,62.70237862757151,0.7318082208455291,,,1.2496727924230233,,213677.61648155973,,0.04379978535843776
2014-02-10,688.4182184199999,3382483002.638258,8530708670.302352,0.498712155753479,1543575.7918504186,324.2725487804132,0.7409816905032253,,,1.2577648158920745,,161448.24201188784,,0.04379978535843776
2014-02-11,675.110840662,3380465489.49642,8458348080.221148,0.4986292963128948,2940046.31841213,91.16658888395654,0.7380071291496137,,,1.2476329559685815,,129148.47262456361,,0.04379978535843776
2014-02-12,652.543163334,3374732960.9571085,8083681739.370812,0.4985721971716193,2288290.20190513,111.16507137210787,0.7108566441902919,,,1.1942571494282528,,102007.5082325071,,0.04379978535843776
2014-02-13,605.83889448,3371611015.573531,7527163551.781174,0.4982754036261129,2204653.8654278493,353.6975764893115,0.672337810049507,,,1.1124060396052333,,78063.9213719769,,0.04379978535843776
