t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,futureOI_sma_meandev,futureOI_upper,futureOI_lower,longperm_sma_meandev,longperm_upper,longperm_lower,perpCVD_sma_meandev,perpCVD_upper,perpCVD_lower
2021-02-01,33543.85974350085,0.00039245020487,5252466325.278275,10495508775.226812,8108402.713018021,8370766.64801261,,,,,,,,,
2021-02-02,35524.119952273206,0.0007421561105729,5605335498.332977,11262722908.476364,14327414.33860221,14478526.432581823,,,,,,,,,
2021-02-03,37451.367472916325,0.0005546652836465,5891505670.162339,11870428181.346506,9793920.50399078,10174200.942845002,,,,,,,,,
2021-02-04,36924.74200585988,0.0003676658011088,5871103371.928092,11972244009.67461,9234960.182286205,6752342.70656343,,,,,,,,,
2021-02-05,38123.15354014715,0.0005409996707296,6293088427.787264,12584556208.93542,9505087.845134802,8757706.0505026,,,,,,,,,
2021-02-06,39271.99676818323,0.000916488607471,6918776346.00306,13437993904.353573,11892784.56310513,11276738.471135752,,,,,,,,,
2021-02-07,38904.21414938871,0.0007331020243235,6869863610.267758,13192635648.358725,11886590.05132696,17641950.017517723,12116584233.76743,,,3775661.7787393956,,,-386153.0102421189,,
2021-02-08,45981.86458968448,0.0013793857113616,8056374873.573976,15442605608.01068,31495506.25145634,29320571.79132414,12823312352.736555,,,5068735.621675441,,,-37967.52522400607,,
2021-02-09,46506.134809077426,0.001212667928653,8004353473.474082,15563977018.262936,16533791.55025686,17610091.19688166,13437777225.563208,,,5861105.4438161915,,,-170137.1756018898,,
2021-02-10,44886.381099679624,0.0009013980336291,7896350294.613055,15404479914.56041,7676991.369059539,19183665.487597167,13942641758.87948,,,6411097.010211222,,,-1759621.9869852334,,
2021-02-11,47812.53533389692,0.0011122844661688,8606099217.305254,16486700862.586235,17088555.021176238,17931754.35644186,14587564166.438282,,,7470215.0886517335,,,-2234738.67426929,,
2021-02-12,47482.86135240913,0.0009879646363217,8400160061.639797,16390963004.027384,22490598.12482183,23663125.0593149,15131336565.737135,,,8169429.704799858,,,-2509011.3498586146,,
2021-02-13,47067.93913526245,0.0006313532674334,8398563300.60591,16409345584.16676,12642292.719920635,12911226.462408572,15555815377.139017,,,8021069.802347307,,,-2635437.040495374,,
2021-02-14,48747.45244155483,0.0015304452100068,9041561646.73096,17275508147.100075,17924863.66865726,20058551.313610885,16139082876.959211,,,9278398.915734014,,,-2118055.28031864,,
2021-02-15,47984.954753679056,0.0009186290135038,8640049364.951729,16746508875.486584,32522393.59953633,26076460.66340742,16325354772.312912,,,8824706.29270104,,,-1507912.6408905387,,
2021-02-16,49175.90051592181,0.0011595811622245,9045375212.28828,17402049094.80374,35977630.12725246,33973878.03691305,16587936497.533026,,,8936452.571920708,,,-1067905.249895652,,
2021-02-17,52138.04498768492,0.0016658442970921,9859529952.036324,18921981717.872227,41609780.373873,28462930.2475096,17090436755.149,,,10265979.302520378,,,2454026.7850902095,,
2021-02-18,51649.57543629381,0.0011372818912944,9584962834.776531,18587266798.42282,35806105.929537304,33229955.51143851,17390517603.125656,,,10455747.043521103,,,2942505.321285126,,
2021-02-19,55776.18881251338,0.0011238853096956,9846195213.40439,19058486424.971336,42676185.65849843,21343148.429587256,17771592377.546223,,,10851023.197292287,,,6157585.916057161,,
2021-02-20,56134.54415202914,0.0007361989554275,9518905936.019695,18469411246.946865,36516910.88091173,42902880.23809376,18065887472.22909,,,11094644.372338938,,,5283723.685386575,,
2021-02-21,57487.03807408455,0.0011251449186282,10040774167.465328,19150440658.510468,20631043.31061876,24940175.64284525,18333734973.85915,,,10731745.98953841,,,4972945.872919023,,
2021-02-22,54092.68879988714,0.0005238324878802,8793846890.38348,17547037014.701572,56726863.2695338,70526673.41131277,18448096136.60415,,,10255960.656663755,,,2080696.861789325,,
2021-02-23,48548.9572135791,0.0002455616191397,7738569049.462281,16060575402.445194,39399008.98972301,53770905.97319049,18256457037.69578,,,9029024.777262095,,,-258681.57732594386,,
2021-02-24,49652.01003172871,0.0001108144568569,7921594659.453653,16119509343.069746,33797822.30739235,23660300.22165171,17856103841.29543,,,6808079.843979157,,,-688585.5831291957,,
